Day,Month,Year,City,Count,WeekDay,DayForStartYear,isWeekend,DayForStartTrainPeriod
12,6,2013,Самара-1,60,2,162,0,615
12,6,2013,Смоленск-1,72,2,162,0,615
12,6,2013,Сарапул-1,56,2,162,0,615
13,6,2013,Ухта-1,103,3,163,0,616
13,6,2013,Смоленск-2,15,3,163,0,616
13,6,2013,Смоленск-1,65,3,163,0,616
13,6,2013,Челябинск-1,56,3,163,0,616
13,6,2013,Сыктывкар-1,300,3,163,0,616
13,6,2013,Белгород-1,50,3,163,0,616
13,6,2013,Самара-1,56,3,163,0,616
13,6,2013,Сыктывкар-2,39,3,163,0,616
13,6,2013,Сарапул-1,50,3,163,0,616
14,6,2013,Смоленск-2,15,4,164,0,617
14,6,2013,Белгород-1,45,4,164,0,617
14,6,2013,Смоленск-1,70,4,164,0,617
14,6,2013,Сыктывкар-2,29,4,164,0,617
14,6,2013,Сыктывкар-1,345,4,164,0,617
14,6,2013,Самара-1,78,4,164,0,617
14,6,2013,Челябинск-1,39,4,164,0,617
14,6,2013,Ухта-1,191,4,164,0,617
14,6,2013,Сарапул-1,51,4,164,0,617
15,6,2013,Ухта-1,161,5,165,1,618
15,6,2013,Самара-1,81,5,165,1,618
15,6,2013,Челябинск-1,65,5,165,1,618
15,6,2013,Смоленск-1,136,5,165,1,618
15,6,2013,Сарапул-1,107,5,165,1,618
15,6,2013,Сыктывкар-2,41,5,165,1,618
15,6,2013,Смоленск-2,27,5,165,1,618
15,6,2013,Сыктывкар-1,330,5,165,1,618
15,6,2013,Белгород-1,53,5,165,1,618
17,6,2013,Смоленск-2,13,0,167,0,620
17,6,2013,Челябинск-1,44,0,167,0,620
17,6,2013,Ухта-1,114,0,167,0,620
17,6,2013,Сарапул-1,37,0,167,0,620
17,6,2013,Белгород-1,36,0,167,0,620
17,6,2013,Сыктывкар-2,31,0,167,0,620
17,6,2013,Смоленск-1,73,0,167,0,620
17,6,2013,Сыктывкар-1,226,0,167,0,620
17,6,2013,Самара-1,57,0,167,0,620
18,6,2013,Сыктывкар-1,236,1,168,0,621
18,6,2013,Челябинск-1,49,1,168,0,621
18,6,2013,Смоленск-2,13,1,168,0,621
18,6,2013,Сарапул-1,51,1,168,0,621
18,6,2013,Ухта-1,107,1,168,0,621
18,6,2013,Смоленск-1,83,1,168,0,621
18,6,2013,Самара-1,64,1,168,0,621
18,6,2013,Сыктывкар-2,29,1,168,0,621
18,6,2013,Белгород-1,31,1,168,0,621
19,6,2013,Челябинск-1,49,2,169,0,622
19,6,2013,Смоленск-1,87,2,169,0,622
19,6,2013,Смоленск-2,13,2,169,0,622
19,6,2013,Сыктывкар-1,268,2,169,0,622
19,6,2013,Сарапул-1,47,2,169,0,622
19,6,2013,Сыктывкар-2,29,2,169,0,622
19,6,2013,Ухта-1,89,2,169,0,622
19,6,2013,Белгород-1,38,2,169,0,622
19,6,2013,Самара-1,61,2,169,0,622
21,6,2013,Сыктывкар-2,46,4,171,0,624
21,6,2013,Смоленск-2,5,4,171,0,624
21,6,2013,Челябинск-1,41,4,171,0,624
21,6,2013,Смоленск-1,89,4,171,0,624
21,6,2013,Белгород-1,47,4,171,0,624
21,6,2013,Самара-1,108,4,171,0,624
21,6,2013,Сыктывкар-1,384,4,171,0,624
21,6,2013,Сарапул-1,51,4,171,0,624
21,6,2013,Ухта-1,163,4,171,0,624
22,6,2013,Белгород-1,50,5,172,1,625
22,6,2013,Сыктывкар-2,43,5,172,1,625
22,6,2013,Сыктывкар-1,352,5,172,1,625
22,6,2013,Челябинск-1,38,5,172,1,625
22,6,2013,Смоленск-2,23,5,172,1,625
22,6,2013,Ухта-1,133,5,172,1,625
22,6,2013,Смоленск-1,89,5,172,1,625
22,6,2013,Сарапул-1,69,5,172,1,625
22,6,2013,Самара-1,94,5,172,1,625
23,6,2013,Смоленск-2,20,6,173,1,626
23,6,2013,Сыктывкар-2,35,6,173,1,626
23,6,2013,Самара-1,72,6,173,1,626
23,6,2013,Смоленск-1,81,6,173,1,626
23,6,2013,Челябинск-1,47,6,173,1,626
23,6,2013,Белгород-1,47,6,173,1,626
23,6,2013,Сыктывкар-1,261,6,173,1,626
23,6,2013,Ухта-1,98,6,173,1,626
23,6,2013,Сарапул-1,49,6,173,1,626
25,6,2013,Сарапул-1,51,1,175,0,628
25,6,2013,Челябинск-1,44,1,175,0,628
25,6,2013,Смоленск-1,69,1,175,0,628
25,6,2013,Сыктывкар-2,26,1,175,0,628
25,6,2013,Сыктывкар-1,311,1,175,0,628
25,6,2013,Самара-1,76,1,175,0,628
25,6,2013,Белгород-1,50,1,175,0,628
25,6,2013,Смоленск-2,15,1,175,0,628
25,6,2013,Ухта-1,66,1,175,0,628
26,6,2013,Смоленск-1,92,2,176,0,629
26,6,2013,Смоленск-2,3,2,176,0,629
26,6,2013,Ухта-1,94,2,176,0,629
26,6,2013,Сарапул-1,47,2,176,0,629
26,6,2013,Белгород-1,62,2,176,0,629
26,6,2013,Сыктывкар-1,255,2,176,0,629
26,6,2013,Челябинск-1,51,2,176,0,629
26,6,2013,Самара-1,68,2,176,0,629
26,6,2013,Сыктывкар-2,39,2,176,0,629
27,6,2013,Челябинск-1,55,3,177,0,630
27,6,2013,Смоленск-1,75,3,177,0,630
27,6,2013,Сарапул-1,61,3,177,0,630
27,6,2013,Ухта-1,118,3,177,0,630
27,6,2013,Сыктывкар-1,266,3,177,0,630
27,6,2013,Сыктывкар-2,39,3,177,0,630
27,6,2013,Смоленск-2,19,3,177,0,630
27,6,2013,Самара-1,75,3,177,0,630
27,6,2013,Белгород-1,41,3,177,0,630
28,6,2013,Сыктывкар-2,45,4,178,0,631
28,6,2013,Смоленск-2,15,4,178,0,631
28,6,2013,Сарапул-1,62,4,178,0,631
28,6,2013,Самара-1,78,4,178,0,631
28,6,2013,Белгород-1,50,4,178,0,631
28,6,2013,Ухта-1,209,4,178,0,631
28,6,2013,Челябинск-1,60,4,178,0,631
28,6,2013,Смоленск-1,113,4,178,0,631
28,6,2013,Сыктывкар-1,431,4,178,0,631
29,6,2013,Белгород-1,67,5,179,1,632
29,6,2013,Самара-1,74,5,179,1,632
29,6,2013,Смоленск-1,122,5,179,1,632
29,6,2013,Сыктывкар-1,412,5,179,1,632
29,6,2013,Смоленск-2,14,5,179,1,632
29,6,2013,Челябинск-1,70,5,179,1,632
29,6,2013,Сарапул-1,63,5,179,1,632
29,6,2013,Ухта-1,143,5,179,1,632
29,6,2013,Сыктывкар-2,46,5,179,1,632
30,6,2013,Белгород-1,44,6,180,1,633
30,6,2013,Смоленск-1,102,6,180,1,633
30,6,2013,Смоленск-2,18,6,180,1,633
30,6,2013,Ухта-1,114,6,180,1,633
30,6,2013,Сыктывкар-2,39,6,180,1,633
30,6,2013,Сыктывкар-1,364,6,180,1,633
30,6,2013,Сарапул-1,70,6,180,1,633
30,6,2013,Самара-1,51,6,180,1,633
30,6,2013,Челябинск-1,48,6,180,1,633
1,7,2013,Сыктывкар-1,289,0,181,0,634
1,7,2013,Белгород-1,59,0,181,0,634
1,7,2013,Смоленск-2,11,0,181,0,634
1,7,2013,Смоленск-1,63,0,181,0,634
1,7,2013,Челябинск-1,35,0,181,0,634
1,7,2013,Ухта-1,106,0,181,0,634
1,7,2013,Сыктывкар-2,22,0,181,0,634
1,7,2013,Самара-1,78,0,181,0,634
1,7,2013,Сарапул-1,62,0,181,0,634
2,7,2013,Смоленск-1,74,1,182,0,635
2,7,2013,Сыктывкар-2,26,1,182,0,635
2,7,2013,Ухта-1,68,1,182,0,635
2,7,2013,Сыктывкар-1,254,1,182,0,635
2,7,2013,Сарапул-1,54,1,182,0,635
2,7,2013,Белгород-1,44,1,182,0,635
2,7,2013,Смоленск-2,2,1,182,0,635
2,7,2013,Челябинск-1,50,1,182,0,635
2,7,2013,Самара-1,64,1,182,0,635
3,7,2013,Смоленск-1,68,2,183,0,636
3,7,2013,Смоленск-2,22,2,183,0,636
3,7,2013,Белгород-1,51,2,183,0,636
3,7,2013,Ухта-1,77,2,183,0,636
3,7,2013,Челябинск-1,43,2,183,0,636
3,7,2013,Самара-1,86,2,183,0,636
3,7,2013,Сыктывкар-2,40,2,183,0,636
3,7,2013,Сыктывкар-1,237,2,183,0,636
3,7,2013,Сарапул-1,39,2,183,0,636
4,7,2013,Сыктывкар-1,261,3,184,0,637
4,7,2013,Ухта-1,85,3,184,0,637
4,7,2013,Самара-1,81,3,184,0,637
4,7,2013,Смоленск-1,62,3,184,0,637
4,7,2013,Смоленск-2,6,3,184,0,637
4,7,2013,Сарапул-1,44,3,184,0,637
4,7,2013,Белгород-1,46,3,184,0,637
4,7,2013,Сыктывкар-2,24,3,184,0,637
4,7,2013,Челябинск-1,56,3,184,0,637
5,7,2013,Сыктывкар-1,299,4,185,0,638
5,7,2013,Челябинск-1,47,4,185,0,638
5,7,2013,Сарапул-1,48,4,185,0,638
5,7,2013,Сыктывкар-2,21,4,185,0,638
5,7,2013,Смоленск-2,11,4,185,0,638
5,7,2013,Белгород-1,70,4,185,0,638
5,7,2013,Самара-1,75,4,185,0,638
5,7,2013,Смоленск-1,68,4,185,0,638
5,7,2013,Ухта-1,128,4,185,0,638
6,7,2013,Белгород-1,54,5,186,1,639
6,7,2013,Сыктывкар-2,34,5,186,1,639
6,7,2013,Самара-1,46,5,186,1,639
6,7,2013,Ухта-1,133,5,186,1,639
6,7,2013,Челябинск-1,56,5,186,1,639
6,7,2013,Смоленск-2,10,5,186,1,639
6,7,2013,Смоленск-1,92,5,186,1,639
6,7,2013,Сарапул-1,67,5,186,1,639
6,7,2013,Сыктывкар-1,370,5,186,1,639
7,7,2013,Белгород-1,60,6,187,1,640
7,7,2013,Челябинск-1,49,6,187,1,640
7,7,2013,Сарапул-1,73,6,187,1,640
7,7,2013,Смоленск-2,14,6,187,1,640
7,7,2013,Сыктывкар-1,323,6,187,1,640
7,7,2013,Смоленск-1,78,6,187,1,640
7,7,2013,Сыктывкар-2,32,6,187,1,640
7,7,2013,Ухта-1,81,6,187,1,640
7,7,2013,Самара-1,61,6,187,1,640
11,7,2013,Белгород-1,51,3,191,0,644
11,7,2013,Сарапул-1,52,3,191,0,644
11,7,2013,Сыктывкар-1,208,3,191,0,644
11,7,2013,Сыктывкар-2,28,3,191,0,644
11,7,2013,Смоленск-1,70,3,191,0,644
11,7,2013,Смоленск-2,1,3,191,0,644
11,7,2013,Челябинск-1,46,3,191,0,644
11,7,2013,Ухта-1,91,3,191,0,644
11,7,2013,Самара-1,79,3,191,0,644
12,7,2013,Ухта-1,201,4,192,0,645
12,7,2013,Смоленск-2,7,4,192,0,645
12,7,2013,Челябинск-1,60,4,192,0,645
12,7,2013,Сарапул-1,79,4,192,0,645
12,7,2013,Белгород-1,77,4,192,0,645
12,7,2013,Сыктывкар-1,403,4,192,0,645
12,7,2013,Самара-1,96,4,192,0,645
12,7,2013,Сыктывкар-2,41,4,192,0,645
12,7,2013,Смоленск-1,111,4,192,0,645
14,7,2013,Сыктывкар-1,350,6,194,1,647
14,7,2013,Челябинск-1,78,6,194,1,647
14,7,2013,Сарапул-1,80,6,194,1,647
14,7,2013,Белгород-1,84,6,194,1,647
14,7,2013,Сыктывкар-2,39,6,194,1,647
14,7,2013,Смоленск-1,101,6,194,1,647
14,7,2013,Ухта-1,122,6,194,1,647
14,7,2013,Смоленск-2,6,6,194,1,647
14,7,2013,Самара-1,65,6,194,1,647
15,7,2013,Ухта-1,122,0,195,0,648
15,7,2013,Челябинск-1,47,0,195,0,648
15,7,2013,Сыктывкар-2,43,0,195,0,648
15,7,2013,Смоленск-2,7,0,195,0,648
15,7,2013,Белгород-1,68,0,195,0,648
15,7,2013,Сарапул-1,74,0,195,0,648
15,7,2013,Смоленск-1,86,0,195,0,648
15,7,2013,Самара-1,91,0,195,0,648
15,7,2013,Сыктывкар-1,284,0,195,0,648
16,7,2013,Белгород-1,62,1,196,0,649
16,7,2013,Челябинск-1,59,1,196,0,649
16,7,2013,Самара-1,57,1,196,0,649
16,7,2013,Ухта-1,102,1,196,0,649
16,7,2013,Сыктывкар-2,44,1,196,0,649
16,7,2013,Сыктывкар-1,298,1,196,0,649
16,7,2013,Смоленск-2,4,1,196,0,649
16,7,2013,Сарапул-1,71,1,196,0,649
16,7,2013,Смоленск-1,85,1,196,0,649
18,7,2013,Самара-1,71,3,198,0,651
18,7,2013,Ухта-1,115,3,198,0,651
18,7,2013,Белгород-1,60,3,198,0,651
18,7,2013,Смоленск-1,88,3,198,0,651
18,7,2013,Сарапул-1,69,3,198,0,651
18,7,2013,Сыктывкар-2,34,3,198,0,651
18,7,2013,Челябинск-1,39,3,198,0,651
18,7,2013,Смоленск-2,13,3,198,0,651
18,7,2013,Сыктывкар-1,326,3,198,0,651
19,7,2013,Белгород-1,78,4,199,0,652
19,7,2013,Сарапул-1,73,4,199,0,652
19,7,2013,Смоленск-2,8,4,199,0,652
19,7,2013,Самара-1,78,4,199,0,652
19,7,2013,Сыктывкар-1,409,4,199,0,652
19,7,2013,Сыктывкар-2,63,4,199,0,652
19,7,2013,Челябинск-1,58,4,199,0,652
19,7,2013,Смоленск-1,114,4,199,0,652
19,7,2013,Ухта-1,167,4,199,0,652
20,7,2013,Смоленск-1,133,5,200,1,653
20,7,2013,Сыктывкар-2,46,5,200,1,653
20,7,2013,Самара-1,74,5,200,1,653
20,7,2013,Белгород-1,95,5,200,1,653
20,7,2013,Челябинск-1,64,5,200,1,653
20,7,2013,Сыктывкар-1,393,5,200,1,653
20,7,2013,Ухта-1,128,5,200,1,653
20,7,2013,Смоленск-2,5,5,200,1,653
20,7,2013,Сарапул-1,66,5,200,1,653
21,7,2013,Ухта-1,104,6,201,1,654
21,7,2013,Сыктывкар-1,311,6,201,1,654
21,7,2013,Белгород-1,73,6,201,1,654
21,7,2013,Челябинск-1,56,6,201,1,654
21,7,2013,Самара-1,81,6,201,1,654
21,7,2013,Сарапул-1,70,6,201,1,654
21,7,2013,Сыктывкар-2,42,6,201,1,654
21,7,2013,Смоленск-1,102,6,201,1,654
21,7,2013,Смоленск-2,8,6,201,1,654
22,7,2013,Ухта-1,100,0,202,0,655
22,7,2013,Сыктывкар-1,293,0,202,0,655
22,7,2013,Челябинск-1,49,0,202,0,655
22,7,2013,Самара-2,17,0,202,0,655
22,7,2013,Сыктывкар-2,52,0,202,0,655
22,7,2013,Самара-1,66,0,202,0,655
22,7,2013,Смоленск-1,75,0,202,0,655
22,7,2013,Белгород-1,82,0,202,0,655
22,7,2013,Смоленск-2,4,0,202,0,655
22,7,2013,Сарапул-1,60,0,202,0,655
23,7,2013,Ухта-1,103,1,203,0,656
23,7,2013,Сыктывкар-1,284,1,203,0,656
23,7,2013,Белгород-1,50,1,203,0,656
23,7,2013,Самара-2,8,1,203,0,656
23,7,2013,Смоленск-1,94,1,203,0,656
23,7,2013,Смоленск-2,2,1,203,0,656
23,7,2013,Челябинск-1,57,1,203,0,656
23,7,2013,Самара-1,92,1,203,0,656
23,7,2013,Сыктывкар-2,40,1,203,0,656
23,7,2013,Сарапул-1,56,1,203,0,656
24,7,2013,Самара-1,66,2,204,0,657
24,7,2013,Белгород-1,83,2,204,0,657
24,7,2013,Сарапул-1,70,2,204,0,657
24,7,2013,Сыктывкар-2,49,2,204,0,657
24,7,2013,Сыктывкар-1,273,2,204,0,657
24,7,2013,Смоленск-1,110,2,204,0,657
24,7,2013,Ухта-1,91,2,204,0,657
24,7,2013,Челябинск-1,38,2,204,0,657
24,7,2013,Самара-2,16,2,204,0,657
24,7,2013,Смоленск-2,3,2,204,0,657
25,7,2013,Смоленск-2,2,3,205,0,658
25,7,2013,Сыктывкар-1,326,3,205,0,658
25,7,2013,Сыктывкар-2,47,3,205,0,658
25,7,2013,Самара-1,85,3,205,0,658
25,7,2013,Челябинск-1,45,3,205,0,658
25,7,2013,Белгород-1,64,3,205,0,658
25,7,2013,Самара-2,19,3,205,0,658
25,7,2013,Ухта-1,110,3,205,0,658
25,7,2013,Смоленск-1,89,3,205,0,658
25,7,2013,Сарапул-1,77,3,205,0,658
26,7,2013,Самара-2,23,4,206,0,659
26,7,2013,Смоленск-1,118,4,206,0,659
26,7,2013,Сыктывкар-2,58,4,206,0,659
26,7,2013,Смоленск-2,8,4,206,0,659
26,7,2013,Белгород-1,62,4,206,0,659
26,7,2013,Ухта-1,174,4,206,0,659
26,7,2013,Сарапул-1,66,4,206,0,659
26,7,2013,Челябинск-1,74,4,206,0,659
26,7,2013,Сыктывкар-1,405,4,206,0,659
26,7,2013,Самара-1,106,4,206,0,659
27,7,2013,Самара-1,90,5,207,1,660
27,7,2013,Челябинск-1,56,5,207,1,660
27,7,2013,Сыктывкар-1,367,5,207,1,660
27,7,2013,Самара-2,27,5,207,1,660
27,7,2013,Смоленск-1,114,5,207,1,660
27,7,2013,Ухта-1,126,5,207,1,660
27,7,2013,Белгород-1,124,5,207,1,660
27,7,2013,Смоленск-2,3,5,207,1,660
27,7,2013,Сыктывкар-2,55,5,207,1,660
27,7,2013,Сарапул-1,76,5,207,1,660
28,7,2013,Белгород-1,81,6,208,1,661
28,7,2013,Ухта-1,134,6,208,1,661
28,7,2013,Сарапул-1,99,6,208,1,661
28,7,2013,Самара-2,22,6,208,1,661
28,7,2013,Челябинск-1,69,6,208,1,661
28,7,2013,Сыктывкар-1,374,6,208,1,661
28,7,2013,Самара-1,63,6,208,1,661
28,7,2013,Смоленск-1,95,6,208,1,661
28,7,2013,Сыктывкар-2,73,6,208,1,661
29,7,2013,Ухта-1,94,0,209,0,662
29,7,2013,Сыктывкар-2,43,0,209,0,662
29,7,2013,Смоленск-1,91,0,209,0,662
29,7,2013,Смоленск-2,4,0,209,0,662
29,7,2013,Белгород-1,60,0,209,0,662
29,7,2013,Челябинск-1,54,0,209,0,662
29,7,2013,Сыктывкар-1,294,0,209,0,662
29,7,2013,Самара-2,8,0,209,0,662
29,7,2013,Самара-1,63,0,209,0,662
29,7,2013,Сарапул-1,65,0,209,0,662
30,7,2013,Смоленск-2,8,1,210,0,663
30,7,2013,Ухта-1,91,1,210,0,663
30,7,2013,Смоленск-1,66,1,210,0,663
30,7,2013,Челябинск-1,53,1,210,0,663
30,7,2013,Сарапул-1,80,1,210,0,663
30,7,2013,Сыктывкар-1,282,1,210,0,663
30,7,2013,Самара-1,69,1,210,0,663
30,7,2013,Белгород-1,100,1,210,0,663
30,7,2013,Сыктывкар-2,25,1,210,0,663
30,7,2013,Самара-2,23,1,210,0,663
31,7,2013,Сыктывкар-2,49,2,211,0,664
31,7,2013,Самара-2,18,2,211,0,664
31,7,2013,Белгород-1,98,2,211,0,664
31,7,2013,Сарапул-1,62,2,211,0,664
31,7,2013,Ухта-1,138,2,211,0,664
31,7,2013,Смоленск-2,4,2,211,0,664
31,7,2013,Челябинск-1,42,2,211,0,664
31,7,2013,Смоленск-1,92,2,211,0,664
31,7,2013,Самара-1,92,2,211,0,664
31,7,2013,Сыктывкар-1,336,2,211,0,664
1,8,2013,Сыктывкар-2,40,3,212,0,665
1,8,2013,Самара-1,86,3,212,0,665
1,8,2013,Сыктывкар-1,313,3,212,0,665
1,8,2013,Ухта-1,138,3,212,0,665
1,8,2013,Белгород-1,77,3,212,0,665
1,8,2013,Самара-2,21,3,212,0,665
1,8,2013,Смоленск-1,94,3,212,0,665
1,8,2013,Сарапул-1,90,3,212,0,665
1,8,2013,Смоленск-2,2,3,212,0,665
1,8,2013,Челябинск-1,63,3,212,0,665
2,8,2013,Смоленск-1,109,4,213,0,666
2,8,2013,Челябинск-1,53,4,213,0,666
2,8,2013,Сыктывкар-1,383,4,213,0,666
2,8,2013,Самара-1,85,4,213,0,666
2,8,2013,Смоленск-2,4,4,213,0,666
2,8,2013,Ухта-1,193,4,213,0,666
2,8,2013,Сыктывкар-2,46,4,213,0,666
2,8,2013,Белгород-1,108,4,213,0,666
2,8,2013,Самара-2,42,4,213,0,666
2,8,2013,Сарапул-1,59,4,213,0,666
3,8,2013,Самара-2,37,5,214,1,667
3,8,2013,Белгород-1,97,5,214,1,667
3,8,2013,Челябинск-1,69,5,214,1,667
3,8,2013,Сарапул-1,91,5,214,1,667
3,8,2013,Смоленск-1,118,5,214,1,667
3,8,2013,Ухта-1,117,5,214,1,667
3,8,2013,Самара-1,86,5,214,1,667
3,8,2013,Сыктывкар-2,42,5,214,1,667
3,8,2013,Смоленск-2,3,5,214,1,667
3,8,2013,Сыктывкар-1,378,5,214,1,667
4,8,2013,Смоленск-1,84,6,215,1,668
4,8,2013,Самара-2,39,6,215,1,668
4,8,2013,Сарапул-1,59,6,215,1,668
4,8,2013,Самара-1,65,6,215,1,668
4,8,2013,Сыктывкар-1,310,6,215,1,668
4,8,2013,Сыктывкар-2,48,6,215,1,668
4,8,2013,Белгород-1,112,6,215,1,668
4,8,2013,Смоленск-2,7,6,215,1,668
4,8,2013,Ухта-1,114,6,215,1,668
4,8,2013,Челябинск-1,48,6,215,1,668
6,8,2013,Сыктывкар-1,263,1,217,0,670
6,8,2013,Самара-2,12,1,217,0,670
6,8,2013,Сыктывкар-2,27,1,217,0,670
6,8,2013,Сарапул-1,71,1,217,0,670
6,8,2013,Смоленск-2,1,1,217,0,670
6,8,2013,Белгород-1,78,1,217,0,670
6,8,2013,Смоленск-1,70,1,217,0,670
6,8,2013,Ухта-1,110,1,217,0,670
6,8,2013,Самара-1,56,1,217,0,670
6,8,2013,Челябинск-1,37,1,217,0,670
8,8,2013,Белгород-1,76,3,219,0,672
8,8,2013,Сыктывкар-1,300,3,219,0,672
8,8,2013,Самара-2,24,3,219,0,672
8,8,2013,Самара-1,58,3,219,0,672
8,8,2013,Сыктывкар-2,34,3,219,0,672
8,8,2013,Смоленск-1,78,3,219,0,672
8,8,2013,Сарапул-1,68,3,219,0,672
8,8,2013,Смоленск-2,3,3,219,0,672
8,8,2013,Челябинск-1,47,3,219,0,672
8,8,2013,Ухта-1,104,3,219,0,672
9,8,2013,Самара-2,19,4,220,0,673
9,8,2013,Сыктывкар-2,46,4,220,0,673
9,8,2013,Ухта-1,166,4,220,0,673
9,8,2013,Сарапул-1,75,4,220,0,673
9,8,2013,Смоленск-2,4,4,220,0,673
9,8,2013,Самара-1,88,4,220,0,673
9,8,2013,Смоленск-1,103,4,220,0,673
9,8,2013,Сыктывкар-1,392,4,220,0,673
9,8,2013,Белгород-1,108,4,220,0,673
9,8,2013,Челябинск-1,72,4,220,0,673
10,8,2013,Ухта-1,127,5,221,1,674
10,8,2013,Смоленск-2,6,5,221,1,674
10,8,2013,Смоленск-1,91,5,221,1,674
10,8,2013,Сыктывкар-2,54,5,221,1,674
10,8,2013,Челябинск-1,45,5,221,1,674
10,8,2013,Белгород-1,82,5,221,1,674
10,8,2013,Сыктывкар-1,367,5,221,1,674
10,8,2013,Самара-1,82,5,221,1,674
10,8,2013,Самара-2,41,5,221,1,674
10,8,2013,Сарапул-1,76,5,221,1,674
13,8,2013,Челябинск-1,32,1,224,0,677
13,8,2013,Сарапул-1,64,1,224,0,677
13,8,2013,Самара-2,26,1,224,0,677
13,8,2013,Самара-1,53,1,224,0,677
13,8,2013,Смоленск-2,3,1,224,0,677
13,8,2013,Белгород-1,60,1,224,0,677
13,8,2013,Сыктывкар-1,279,1,224,0,677
13,8,2013,Смоленск-1,80,1,224,0,677
13,8,2013,Ухта-1,98,1,224,0,677
13,8,2013,Сыктывкар-2,36,1,224,0,677
14,8,2013,Белгород-1,53,2,225,0,678
14,8,2013,Самара-2,22,2,225,0,678
14,8,2013,Сарапул-1,76,2,225,0,678
14,8,2013,Смоленск-2,4,2,225,0,678
14,8,2013,Сыктывкар-1,286,2,225,0,678
14,8,2013,Смоленск-1,69,2,225,0,678
14,8,2013,Челябинск-1,42,2,225,0,678
14,8,2013,Сыктывкар-2,29,2,225,0,678
14,8,2013,Ухта-1,135,2,225,0,678
14,8,2013,Самара-1,48,2,225,0,678
15,8,2013,Смоленск-2,2,3,226,0,679
15,8,2013,Сыктывкар-2,36,3,226,0,679
15,8,2013,Белгород-1,83,3,226,0,679
15,8,2013,Ухта-1,130,3,226,0,679
15,8,2013,Сарапул-1,52,3,226,0,679
15,8,2013,Смоленск-1,94,3,226,0,679
15,8,2013,Самара-1,62,3,226,0,679
15,8,2013,Сыктывкар-1,308,3,226,0,679
15,8,2013,Челябинск-1,28,3,226,0,679
15,8,2013,Самара-2,24,3,226,0,679
16,8,2013,Сыктывкар-2,51,4,227,0,680
16,8,2013,Смоленск-2,2,4,227,0,680
16,8,2013,Смоленск-1,92,4,227,0,680
16,8,2013,Челябинск-1,52,4,227,0,680
16,8,2013,Белгород-1,83,4,227,0,680
16,8,2013,Самара-2,24,4,227,0,680
16,8,2013,Самара-1,88,4,227,0,680
16,8,2013,Ухта-1,193,4,227,0,680
16,8,2013,Сыктывкар-1,387,4,227,0,680
16,8,2013,Сарапул-1,60,4,227,0,680
17,8,2013,Самара-1,61,5,228,1,681
17,8,2013,Челябинск-1,65,5,228,1,681
17,8,2013,Самара-2,39,5,228,1,681
17,8,2013,Ухта-1,137,5,228,1,681
17,8,2013,Белгород-1,96,5,228,1,681
17,8,2013,Сыктывкар-2,58,5,228,1,681
17,8,2013,Сарапул-1,113,5,228,1,681
17,8,2013,Смоленск-1,121,5,228,1,681
17,8,2013,Смоленск-2,4,5,228,1,681
17,8,2013,Сыктывкар-1,379,5,228,1,681
18,8,2013,Самара-1,84,6,229,1,682
18,8,2013,Белгород-1,92,6,229,1,682
18,8,2013,Смоленск-1,78,6,229,1,682
18,8,2013,Сыктывкар-2,47,6,229,1,682
18,8,2013,Ухта-1,115,6,229,1,682
18,8,2013,Самара-2,43,6,229,1,682
18,8,2013,Челябинск-1,49,6,229,1,682
18,8,2013,Сыктывкар-1,340,6,229,1,682
18,8,2013,Сарапул-1,92,6,229,1,682
18,8,2013,Смоленск-2,2,6,229,1,682
19,8,2013,Сыктывкар-1,255,0,230,0,683
19,8,2013,Белгород-1,57,0,230,0,683
19,8,2013,Сыктывкар-2,57,0,230,0,683
19,8,2013,Сарапул-1,55,0,230,0,683
19,8,2013,Самара-2,10,0,230,0,683
19,8,2013,Челябинск-1,49,0,230,0,683
19,8,2013,Смоленск-1,67,0,230,0,683
19,8,2013,Ухта-1,123,0,230,0,683
19,8,2013,Самара-1,73,0,230,0,683
20,8,2013,Сыктывкар-1,267,1,231,0,684
20,8,2013,Смоленск-2,1,1,231,0,684
20,8,2013,Ухта-1,101,1,231,0,684
20,8,2013,Самара-2,13,1,231,0,684
20,8,2013,Смоленск-1,58,1,231,0,684
20,8,2013,Сарапул-1,56,1,231,0,684
20,8,2013,Сыктывкар-2,46,1,231,0,684
20,8,2013,Самара-1,62,1,231,0,684
20,8,2013,Челябинск-1,66,1,231,0,684
20,8,2013,Белгород-1,66,1,231,0,684
21,8,2013,Челябинск-1,55,2,232,0,685
21,8,2013,Сыктывкар-2,44,2,232,0,685
21,8,2013,Ухта-1,121,2,232,0,685
21,8,2013,Сыктывкар-1,271,2,232,0,685
21,8,2013,Смоленск-2,8,2,232,0,685
21,8,2013,Самара-2,24,2,232,0,685
21,8,2013,Сарапул-1,66,2,232,0,685
21,8,2013,Смоленск-1,78,2,232,0,685
21,8,2013,Самара-1,66,2,232,0,685
21,8,2013,Белгород-1,62,2,232,0,685
22,8,2013,Сыктывкар-2,58,3,233,0,686
22,8,2013,Белгород-1,83,3,233,0,686
22,8,2013,Самара-2,20,3,233,0,686
22,8,2013,Ухта-1,130,3,233,0,686
22,8,2013,Сыктывкар-1,302,3,233,0,686
22,8,2013,Смоленск-2,4,3,233,0,686
22,8,2013,Смоленск-1,100,3,233,0,686
22,8,2013,Сарапул-1,72,3,233,0,686
22,8,2013,Челябинск-1,39,3,233,0,686
22,8,2013,Самара-1,60,3,233,0,686
